,Unnamed: 0.2,Unnamed: 0.1,level_0,dex,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played,id,name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,club_join_date,contract_end_year,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,statistic_minutes_played,statistic_contribution_value,statistic_rating_contribution_value
10,1235,5174.0,0.0,0.0,18.0,18.0,18243.0,212.0,5633.0,Yannick Ferreira Carrasco,Yannick Carrasco,21.0,False,0.0,Substitute,81.0,208418.0,Y. Carrasco,Yannick Ferreira Carrasco,1993-09-04,25.0,154.94,73.0,LM,Belgium,83.0,86.0,33000000.0,20000.0,Right,3.0,4.0,4.0,High/ Medium,Lean,73400000.0,Belgium,85.0,LM,11.0,,,Dalian YiFang FC,64.0,LM,10.0,78.0,79.0,53.0,77.0,68.0,88.0,81.0,78.0,71.0,87.0,89.0,87.0,88.0,83.0,71.0,84.0,68.0,74.0,59.0,75.0,61.0,18.0,81.0,71.0,74.0,75.0,58.0,39.0,26.0,9.0,11.0,9.0,10.0,10.0,#Acrobat,"Long Shot Taker (CPU AI Only),Speed Dribbler (CPU AI Only)",78+3,78+3,78+3,82+3,81+3,81+3,81+3,82+3,80+3,80+3,80+3,81+3,73+3,73+3,73+3,81+3,62+3,58+3,58+3,58+3,62+3,58+3,50+3,50+3,50+3,58+3,45.0,18.205453258267248,36.410906516534496
11,421,52348.0,0.0,0.0,28.0,28.0,3857268.0,1833.0,31684.0,Atiba Hutchinson,,13.0,True,9.0,Right Defensive Midfield,61.0,134744.0,A. Hutchinson,Atiba Hutchinson,1983-02-08,36.0,187.96,83.0,"CDM,CM",Canada,76.0,76.0,1800000.0,28000.0,Right,2.0,4.0,2.0,High/ High,Lean,3500000.0,Beşiktaş JK,77.0,LDM,13.0,2013-07-31,2019,Canada,70.0,SUB,13.0,69.0,61.0,75.0,82.0,63.0,73.0,67.0,64.0,74.0,72.0,68.0,69.0,63.0,76.0,62.0,73.0,62.0,78.0,79.0,59.0,69.0,75.0,64.0,65.0,75.0,82.0,74.0,77.0,68.0,8.0,12.0,9.0,6.0,16.0,,"Injury Free,Team Player",69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,73+2,75+2,75+2,75+2,73+2,73+2,74+2,74+2,74+2,73+2,95.0,32.514907905485025,30.803596963091074
12,466,50317.0,0.0,0.0,14.0,14.0,3857254.0,776.0,27569.0,Jesper Lindstrøm,,25.0,False,0.0,Substitute,33.0,245741.0,J. Lindstrøm,Jesper Lindstrøm,2000-02-29,19.0,182.88,64.0,"CAM,ST,CM",Denmark,52.0,72.0,100000.0,2000.0,Right,1.0,3.0,2.0,High/ Medium,Normal,225000.0,Brøndby IF,68.0,SUB,35.0,2018-08-26,2021,,,,,42.0,44.0,39.0,60.0,42.0,50.0,44.0,41.0,51.0,48.0,68.0,70.0,54.0,44.0,74.0,45.0,50.0,49.0,34.0,32.0,49.0,27.0,41.0,56.0,45.0,54.0,37.0,40.0,44.0,11.0,12.0,14.0,13.0,8.0,,,46+2,46+2,46+2,50+2,49+2,49+2,49+2,50+2,51+2,51+2,51+2,51+2,48+2,48+2,48+2,51+2,46+2,44+2,44+2,44+2,46+2,45+2,40+2,40+2,40+2,45+2,120.0,40.69104367248633,30.518282754364748
13,685,39006.0,0.0,0.0,9.0,9.0,3802795.0,134.0,28914.0,Lovro Majer,,21.0,True,13.0,Right Center Midfield,86.0,244261.0,L. Majer,Lovro Majer,1998-01-17,21.0,152.4,74.8,"CAM,CM",Croatia,73.0,84.0,7000000.0,1000.0,Left,1.0,3.0,4.0,Medium/ Medium,Normal,16800000.0,Dinamo Zagreb,72.0,SUB,10.0,2018-07-01,2023,,,,,75.0,65.0,42.0,76.0,58.0,77.0,79.0,74.0,75.0,75.0,75.0,68.0,81.0,66.0,72.0,74.0,50.0,61.0,47.0,70.0,42.0,22.0,60.0,75.0,78.0,70.0,31.0,26.0,31.0,9.0,12.0,12.0,5.0,6.0,,"Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",65+2,65+2,65+2,71+2,70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,67+2,67+2,67+2,71+2,54+2,51+2,51+2,51+2,54+2,49+2,39+2,39+2,39+2,49+2,91.0,29.445904148256027,29.12232278398948
14,1413,5.0,0.0,0.0,1.0,1.0,15946.0,217.0,5203.0,Sergio Busquets i Burgos,Sergio Busquets,5.0,True,9.0,Right Defensive Midfield,84.0,189511.0,Sergio Busquets,Sergio Busquets i Burgos,1988-07-16,30.0,187.96,76.2,"CDM,CM",Spain,89.0,89.0,51500000.0,315000.0,Right,4.0,3.0,3.0,Medium/ Medium,Lean,105600000.0,FC Barcelona,86.0,CDM,5.0,2008-09-01,2023,Spain,85.0,CDM,5.0,62.0,67.0,68.0,89.0,44.0,80.0,66.0,68.0,82.0,88.0,50.0,52.0,66.0,87.0,52.0,61.0,66.0,86.0,77.0,54.0,85.0,87.0,77.0,87.0,60.0,93.0,90.0,86.0,80.0,5.0,8.0,13.0,9.0,13.0,"#Playmaker  ,#Tactician ",,71+3,71+3,71+3,74+3,76+3,76+3,76+3,74+3,79+3,79+3,79+3,76+3,83+3,83+3,83+3,76+3,79+3,86+3,86+3,86+3,79+3,78+3,82+3,82+3,82+3,78+3,263.0,79.1512161956845,27.08596751943576
15,757,35972.0,0.0,0.0,24.0,24.0,3788764.0,770.0,6324.0,Leon Goretzka,,18.0,False,0.0,Substitute,22.0,209658.0,L. Goretzka,Leon Goretzka,1995-02-06,24.0,187.96,78.9,"CM,CAM,CDM",Germany,83.0,88.0,34000000.0,85000.0,Right,3.0,4.0,3.0,High/ High,Lean,58700000.0,FC Bayern München,85.0,SUB,18.0,2018-07-01,2022,Germany,85.0,SUB,14.0,75.0,73.0,80.0,84.0,68.0,81.0,76.0,75.0,79.0,83.0,84.0,79.0,76.0,84.0,70.0,78.0,74.0,86.0,72.0,80.0,80.0,82.0,79.0,82.0,60.0,80.0,72.0,76.0,74.0,13.0,8.0,15.0,11.0,9.0,#Engine,"Flair,Long Shot Taker (CPU AI Only),Speed Dribbler (CPU AI Only)",78+3,78+3,78+3,80+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,79+3,79+3,79+3,79+3,79+3,79+3,77+3,77+3,77+3,79+3,76.0,22.73889572060064,26.927639669132336
16,461,50533.0,0.0,0.0,17.0,17.0,3857256.0,786.0,5589.0,Sergej Milinković-Savić,,20.0,True,11.0,Left Defensive Midfield,68.0,224836.0,V. Milinković-Savić,Vanja Milinković-Savić,1997-02-20,22.0,203.2,92.1,GK,Serbia,71.0,79.0,2600000.0,12000.0,Right,1.0,3.0,1.0,Medium/ Medium,Normal,,Ascoli,68.0,GK,22.0,,"Jun 30, 2019",,,,,18.0,20.0,12.0,31.0,16.0,15.0,55.0,59.0,30.0,18.0,40.0,45.0,37.0,66.0,38.0,62.0,58.0,33.0,73.0,45.0,34.0,21.0,12.0,50.0,24.0,65.0,11.0,15.0,19.0,70.0,69.0,77.0,70.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,53.6695566377705,26.394863920215
17,1045,13633.0,0.0,0.0,27.0,27.0,303634.0,422.0,24085.0,Pervis Josué Estupiñán Tenorio,Pervis Estupiñán,30.0,True,8.0,Left Wing Back,97.0,237942.0,P. Estupiñán,Pervis Josué Estupiñán Tenorio,1998-01-21,21.0,175.26,68.9,"LB,LM",Ecuador,66.0,76.0,900000.0,9000.0,Left,1.0,3.0,2.0,High/ Medium,Normal,,RCD Mallorca,68.0,LB,30.0,,"Jun 30, 2019",,,,,69.0,20.0,63.0,70.0,38.0,49.0,59.0,36.0,52.0,61.0,73.0,73.0,63.0,61.0,74.0,41.0,58.0,63.0,61.0,42.0,51.0,58.0,48.0,37.0,40.0,53.0,60.0,65.0,67.0,14.0,7.0,14.0,7.0,7.0,,,49+2,49+2,49+2,54+2,51+2,51+2,51+2,54+2,53+2,53+2,53+2,57+2,55+2,55+2,55+2,57+2,64+2,60+2,60+2,60+2,64+2,64+2,61+2,61+2,61+2,64+2,199.0,58.260815292371575,26.34911244378614
18,820,32066.0,0.0,0.0,6.0,6.0,3788743.0,782.0,5630.0,Dries Mertens,,14.0,True,18.0,Right Attacking Midfield,74.0,175943.0,D. Mertens,Dries Mertens,1987-05-06,31.0,170.18,60.8,"CF,ST",Belgium,87.0,87.0,45000000.0,135000.0,Right,3.0,4.0,4.0,High/ Low,Normal,76500000.0,Napoli,82.0,SUB,14.0,2013-07-01,2020,Belgium,85.0,RF,14.0,77.0,86.0,35.0,82.0,70.0,91.0,82.0,79.0,74.0,89.0,93.0,85.0,94.0,88.0,92.0,80.0,60.0,75.0,42.0,81.0,59.0,36.0,87.0,83.0,79.0,81.0,25.0,40.0,40.0,7.0,10.0,8.0,10.0,4.0,"#Dribbler,#Acrobat,#Clinical Finisher,#Complete Forward","Diver,Finesse Shot,Flair,Long Shot Taker (CPU AI Only),Technical Dribbler (CPU AI Only),Takes Finesse Free Kicks,Through Ball",78+3,78+3,78+3,86+3,85+3,85+3,85+3,86+3,86+3,86+3,86+3,85+3,78+3,78+3,78+3,85+3,65+3,60+3,60+3,60+3,65+3,60+3,46+3,46+3,46+3,60+3,45.0,13.132801926219397,26.265603852438794
19,825,31765.0,0.0,0.0,12.0,12.0,3788742.0,776.0,16554.0,Joakim Mæhle,Joakim Maehle,5.0,True,6.0,Left Back,96.0,234678.0,J. Mæhle,Joakim Mæhle,1997-05-20,21.0,182.88,79.8,RB,Denmark,75.0,84.0,9000000.0,10000.0,Right,1.0,3.0,3.0,High/ High,Normal,15300000.0,KRC Genk,74.0,RB,31.0,2017-07-01,2020,,,,,74.0,46.0,59.0,72.0,62.0,77.0,63.0,25.0,68.0,72.0,87.0,89.0,68.0,70.0,71.0,65.0,80.0,91.0,74.0,62.0,72.0,68.0,71.0,65.0,33.0,65.0,66.0,75.0,68.0,12.0,8.0,12.0,10.0,8.0,#Engine,,66+2,66+2,66+2,71+2,69+2,69+2,69+2,71+2,69+2,69+2,69+2,73+2,70+2,70+2,70+2,73+2,74+2,71+2,71+2,71+2,74+2,73+2,70+2,70+2,70+2,73+2,201.0,57.029248222606654,25.5354842787791
20,758,35944.0,0.0,0.0,23.0,23.0,3788764.0,770.0,6322.0,Niklas Süle,,15.0,False,0.0,Substitute,22.0,212190.0,N. Süle,Niklas Süle,1995-09-03,23.0,195.58,97.1,CB,Germany,84.0,90.0,36500000.0,84000.0,Right,2.0,3.0,2.0,Medium/ Medium,Stocky,67500000.0,FC Bayern München,85.0,RCB,4.0,2017-07-01,2022,Germany,85.0,CB,15.0,30.0,20.0,86.0,78.0,31.0,42.0,28.0,30.0,63.0,63.0,52.0,84.0,33.0,79.0,33.0,77.0,38.0,65.0,94.0,62.0,82.0,82.0,26.0,30.0,32.0,72.0,83.0,85.0,83.0,15.0,7.0,14.0,7.0,15.0,"#Aerial Threat,#Strength",Dives Into Tackles (CPU AI Only),56+2,56+2,56+2,49+2,52+2,52+2,52+2,49+2,52+2,52+2,52+2,52+2,60+2,60+2,60+2,52+2,69+2,75+2,75+2,75+2,69+2,73+2,81+2,81+2,81+2,73+2,198.0,55.75646620784504,25.343848276293198
21,434,51553.0,0.0,0.0,6.0,6.0,3857262.0,791.0,23763.0,In-Beom Hwang,Hwang In-Beom,6.0,True,13.0,Right Center Midfield,98.0,228010.0,Hwang In Beom,황인범 In Beom Hwang,1996-09-20,22.0,152.4,69.9,"CM,CAM",Korea Republic,65.0,71.0,725000.0,2000.0,Right,1.0,3.0,3.0,Medium/ Medium,Normal,1200000.0,Vancouver Whitecaps FC,67.0,LCM,4.0,2019-02-13,2020,,,,,47.0,64.0,36.0,67.0,46.0,63.0,48.0,37.0,60.0,67.0,66.0,64.0,56.0,73.0,73.0,69.0,56.0,77.0,60.0,63.0,64.0,60.0,63.0,60.0,42.0,61.0,52.0,45.0,49.0,7.0,12.0,11.0,9.0,8.0,,Long Shot Taker (CPU AI Only),62+2,62+2,62+2,63+2,64+2,64+2,64+2,63+2,64+2,64+2,64+2,63+2,64+2,64+2,64+2,63+2,60+2,60+2,60+2,60+2,60+2,58+2,54+2,54+2,54+2,58+2,271.0,76.03368834715712,25.251040410494987
22,389,53934.0,0.0,0.0,25.0,25.0,3857298.0,780.0,11184.0,Otávio Edmilson da Silva Monteiro,Otavinho,25.0,True,15.0,Left Center Midfield,56.0,210411.0,Otávio,Otávio Edmilson da Silva Monteiro,1995-02-09,24.0,172.72,71.2,"RM,CAM,CM",Brazil,79.0,85.0,17500000.0,15000.0,Right,1.0,3.0,4.0,Medium/ Medium,Normal,38500000.0,FC Porto,81.0,SUB,25.0,2014-09-01,2021,,,,,78.0,67.0,56.0,77.0,63.0,84.0,74.0,72.0,74.0,83.0,76.0,74.0,86.0,80.0,82.0,67.0,57.0,68.0,54.0,68.0,73.0,46.0,76.0,79.0,72.0,80.0,52.0,41.0,27.0,11.0,12.0,9.0,10.0,15.0,#Acrobat,"Diver,Selfish,Flair,Long Passer (CPU AI Only),Technical Dribbler (CPU AI Only)",71+2,71+2,71+2,77+2,76+2,76+2,76+2,77+2,78+2,78+2,78+2,77+2,73+2,73+2,73+2,77+2,63+2,62+2,62+2,62+2,63+2,59+2,53+2,53+2,53+2,59+2,132.0,36.58810613294611,24.946435999735982
23,442,51139.0,0.0,0.0,0.0,0.0,3857260.0,799.0,5187.0,Salem Mohammed Al Dawsari,Salem Al Dawsari,10.0,True,16.0,Left Midfield,103.0,191269.0,S. Al Faraj,Salman Mohammed Al Faraj,1989-08-01,29.0,154.94,64.0,"CM,LM,CDM",Saudi Arabia,73.0,73.0,4000000.0,31000.0,Left,1.0,4.0,3.0,High/ High,Lean,6700000.0,Al Hilal,74.0,RES,7.0,2016-01-22,2021,,,,,72.0,65.0,59.0,77.0,70.0,71.0,71.0,66.0,74.0,75.0,66.0,72.0,81.0,73.0,69.0,74.0,71.0,67.0,71.0,67.0,66.0,65.0,66.0,76.0,61.0,73.0,67.0,67.0,66.0,13.0,16.0,11.0,15.0,11.0,,Technical Dribbler (CPU AI Only),68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,72+2,72+2,72+2,71+2,69+2,70+2,70+2,70+2,69+2,68+2,67+2,67+2,67+2,68+2,216.0,59.56516101245519,24.818817088522998
24,463,50508.0,0.0,0.0,2.0,2.0,3857256.0,773.0,3913.0,Edimilson Fernandes,,2.0,False,0.0,Substitute,33.0,209449.0,Gerso,Gerso Fernandes,1991-02-23,28.0,172.72,64.9,"LW,RW",Guinea Bissau,73.0,73.0,4200000.0,8000.0,Left,1.0,2.0,3.0,High/ Medium,Normal,6300000.0,Sporting Kansas City,71.0,SUB,12.0,2017-01-04,2019,,,,,58.0,64.0,48.0,69.0,69.0,74.0,42.0,53.0,53.0,71.0,92.0,93.0,91.0,74.0,93.0,68.0,43.0,75.0,32.0,68.0,60.0,34.0,73.0,64.0,67.0,70.0,37.0,37.0,39.0,10.0,12.0,10.0,9.0,7.0,"#Speedster,#Acrobat","Avoids Using Weaker Foot,Beat Offside Trap,Flair,Speed Dribbler (CPU AI Only)",67+2,67+2,67+2,72+2,71+2,71+2,71+2,72+2,71+2,71+2,71+2,71+2,64+2,64+2,64+2,71+2,59+2,53+2,53+2,53+2,59+2,56+2,45+2,45+2,45+2,56+2,135.0,37.08731160208126,24.724874401387503
