,Unnamed: 0.1,level_0,dex,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played,id,name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,club_join_date,contract_end_year,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,statistic_minutes_played,statistic_contribution_value,statistic_rating_contribution_value
10,2900,0,0,16.0,16.0,3857268.0,1833.0,11187.0,Stephen Antunes Eustáquio,,7.0,True,11.0,Left Defensive Midfield,84.0,242380.0,Stephen Eustáquio,Stephen Antunes Eustáquio,1996-12-21,22.0,152.4,68.0,"CDM,CM",Portugal,73.0,84.0,6000000.0,13000.0,Right,1.0,3.0,2.0,Medium/ Medium,Lean,11400000.0,Cruz Azul,72.0,SUB,3.0,2019-01-17,2020,,,,,70.0,53.0,55.0,76.0,55.0,71.0,71.0,51.0,73.0,72.0,66.0,63.0,70.0,73.0,73.0,70.0,76.0,81.0,65.0,65.0,67.0,72.0,60.0,72.0,64.0,75.0,67.0,72.0,64.0,14.0,12.0,15.0,11.0,5.0,,,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,69+2,69+2,69+2,69+2,71+2,71+2,71+2,69+2,71+2,71+2,71+2,71+2,71+2,69+2,67+2,67+2,67+2,69+2,84.0,39.11048851710532,41.90409483975569
11,288,0,0,22.0,22.0,16196.0,220.0,5721.0,Daniel Carvajal Ramos,Daniel Carvajal,2.0,True,2.0,Right Back,94.0,204963.0,Carvajal,Daniel Carvajal Ramos,1992-01-11,27.0,172.72,73.0,RB,Spain,85.0,86.0,36500000.0,205000.0,Right,3.0,3.0,3.0,High/ High,Stocky,77600000.0,Real Madrid,86.0,RB,2.0,2013-07-05,2022,Spain,85.0,SUB,2.0,84.0,41.0,70.0,83.0,34.0,78.0,74.0,47.0,74.0,84.0,80.0,85.0,81.0,84.0,83.0,64.0,76.0,89.0,74.0,36.0,84.0,83.0,72.0,70.0,45.0,82.0,83.0,83.0,85.0,13.0,13.0,15.0,9.0,15.0,#Engine,,67+3,67+3,67+3,74+3,72+3,72+3,72+3,74+3,73+3,73+3,73+3,77+3,76+3,76+3,76+3,77+3,83+3,81+3,81+3,81+3,83+3,83+3,80+3,80+3,80+3,83+3,53.0,24.339230863582245,41.33076939098872
12,458,0,0,7.0,7.0,22912.0,38.0,3308.0,Kieran Trippier,,2.0,True,2.0,Right Back,97.0,186345.0,K. Trippier,Kieran Trippier,1990-09-19,28.0,152.4,72.1,"RB,RWB",England,82.0,82.0,18500000.0,99000.0,Right,2.0,4.0,3.0,High/ Medium,Normal,34200000.0,Tottenham Hotspur,83.0,RB,2.0,2015-06-19,2022,England,82.0,SUB,12.0,91.0,48.0,73.0,79.0,54.0,75.0,87.0,83.0,78.0,81.0,76.0,75.0,74.0,80.0,74.0,75.0,73.0,88.0,65.0,70.0,70.0,79.0,75.0,80.0,66.0,73.0,77.0,82.0,79.0,11.0,14.0,8.0,11.0,10.0,#Crosser,"Long Throw-in,Injury Free,Early Crosser",70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,75+2,75+2,75+2,77+2,78+2,78+2,78+2,77+2,81+2,78+2,78+2,78+2,81+2,80+2,76+2,76+2,76+2,80+2,147.0,66.5335484454534,40.734825578849026
13,615,0,0,14.0,14.0,266149.0,215.0,4353.0,Aymeric Laporte,,4.0,True,5.0,Left Center Back,92.0,212218.0,A. Laporte,Aymeric  Laporte,1994-05-27,24.0,187.96,84.8,"CB,LB",France,85.0,88.0,41000000.0,150000.0,Left,2.0,3.0,2.0,Medium/ Medium,Normal,78900000.0,Manchester City,85.0,LCB,14.0,2018-01-30,2025,,,,,58.0,45.0,85.0,77.0,40.0,59.0,61.0,69.0,78.0,73.0,62.0,66.0,45.0,86.0,55.0,68.0,76.0,67.0,83.0,47.0,76.0,86.0,54.0,59.0,44.0,80.0,87.0,88.0,88.0,10.0,11.0,5.0,14.0,5.0,"#Tackling ,#Tactician ",Long Passer (CPU AI Only),64+2,64+2,64+2,62+2,63+2,63+2,63+2,62+2,64+2,64+2,64+2,65+2,70+2,70+2,70+2,65+2,76+2,80+2,80+2,80+2,76+2,78+2,83+2,83+2,83+2,78+2,200.0,88.85195858318369,39.98338136243266
14,2776,0,0,15.0,15.0,3857254.0,777.0,3557.0,Naïm Sliti,,23.0,False,0.0,Substitute,31.0,205257.0,N. Sliti,Naïm Sliti,1992-07-27,26.0,172.72,76.2,"LW,CAM",Tunisia,76.0,77.0,9000000.0,16000.0,Right,1.0,3.0,4.0,Medium/ Medium,Stocky,18700000.0,Dijon FCO,72.0,CAM,10.0,2018-07-01,2022,,,,,70.0,67.0,49.0,79.0,72.0,81.0,72.0,70.0,66.0,79.0,77.0,75.0,79.0,73.0,84.0,68.0,66.0,81.0,68.0,74.0,59.0,32.0,73.0,75.0,70.0,78.0,31.0,35.0,27.0,8.0,15.0,15.0,11.0,12.0,,"Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only),Set Play Specialist",70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,71+2,71+2,71+2,75+2,59+2,57+2,57+2,57+2,59+2,54+2,47+2,47+2,47+2,54+2,31.0,13.313008587677642,38.65067009325767
15,454,0,0,1.0,1.0,22912.0,38.0,3077.0,Jan Vertonghen,,5.0,True,5.0,Left Center Back,97.0,172871.0,J. Vertonghen,Jan Vertonghen,1987-04-24,31.0,187.96,86.2,CB,Belgium,87.0,87.0,34000000.0,155000.0,Left,3.0,3.0,3.0,High/ High,Normal,62900000.0,Tottenham Hotspur,83.0,LCB,5.0,2012-07-01,2020,Belgium,85.0,LCB,5.0,72.0,56.0,80.0,79.0,52.0,71.0,63.0,73.0,74.0,77.0,61.0,65.0,61.0,85.0,60.0,80.0,85.0,75.0,79.0,66.0,84.0,89.0,60.0,68.0,66.0,83.0,89.0,87.0,88.0,6.0,10.0,9.0,12.0,7.0,"#Tackling ,#Tactician ","Power Free-Kick,Leadership",69+3,69+3,69+3,69+3,70+3,70+3,70+3,69+3,70+3,70+3,70+3,71+3,75+3,75+3,75+3,71+3,79+3,82+3,82+3,82+3,79+3,80+3,84+3,84+3,84+3,80+3,196.0,83.74976590977579,38.45652516265215
16,453,0,0,0.0,0.0,22912.0,38.0,3043.0,Christian Dannemann Eriksen,Christian Eriksen,23.0,True,17.0,Right Wing,97.0,190460.0,C. Eriksen,Christian  Dannemann Eriksen,1992-02-14,27.0,154.94,76.2,"CAM,RM,CM",Denmark,88.0,89.0,69500000.0,205000.0,Right,3.0,5.0,4.0,High/ Medium,Lean,133800000.0,Tottenham Hotspur,83.0,LCM,23.0,2013-08-30,2020,Denmark,78.0,CAM,10.0,88.0,81.0,52.0,91.0,80.0,84.0,86.0,87.0,89.0,91.0,76.0,73.0,80.0,88.0,81.0,84.0,50.0,92.0,58.0,89.0,46.0,56.0,84.0,91.0,67.0,88.0,59.0,57.0,22.0,9.0,14.0,7.0,7.0,6.0,"#Playmaker  ,#Crosser,#FK Specialist,#Complete Midfielder","Flair,Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only),Takes Finesse Free Kicks",79+3,79+3,79+3,85+3,84+3,84+3,84+3,85+3,86+3,86+3,86+3,86+3,85+3,85+3,85+3,86+3,71+3,71+3,71+3,71+3,71+3,66+3,57+3,57+3,57+3,66+3,201.0,85.54872654540654,38.30539994570442
17,146,0,0,15.0,15.0,16056.0,218.0,5214.0,William Silva de Carvalho,William Carvalho,14.0,True,11.0,Left Defensive Midfield,95.0,207566.0,William Carvalho,William Silva de Carvalho,1992-04-07,26.0,187.96,83.0,"CDM,CM",Portugal,83.0,86.0,27000000.0,35000.0,Right,3.0,4.0,3.0,Medium/ Medium,Normal,58700000.0,Real Betis,80.0,CDM,14.0,2018-07-13,2023,Portugal,82.0,CDM,14.0,68.0,52.0,73.0,81.0,50.0,78.0,79.0,50.0,84.0,80.0,62.0,67.0,51.0,75.0,51.0,70.0,69.0,85.0,92.0,59.0,78.0,81.0,64.0,81.0,60.0,89.0,82.0,83.0,67.0,6.0,6.0,5.0,14.0,14.0,#Strength,"Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only)",68+3,68+3,68+3,70+3,71+3,71+3,71+3,70+3,73+3,73+3,73+3,73+3,78+3,78+3,78+3,73+3,76+3,80+3,80+3,80+3,76+3,75+3,79+3,79+3,79+3,75+3,144.0,61.124203762955716,38.202627351847326
18,2051,0,0,10.0,10.0,3794689.0,776.0,8247.0,Joachim Andersen,,2.0,False,0.0,Substitute,20.0,224221.0,J. Andersen,Joachim Andersen,1996-05-31,22.0,190.5,89.8,CB,Denmark,76.0,84.0,10000000.0,26000.0,Right,1.0,3.0,2.0,Medium/ High,Normal,19000000.0,Sampdoria,76.0,RCB,3.0,2017-08-29,2021,,,,,36.0,40.0,75.0,65.0,33.0,46.0,40.0,36.0,66.0,62.0,64.0,61.0,50.0,71.0,55.0,48.0,77.0,58.0,83.0,38.0,70.0,75.0,28.0,48.0,44.0,68.0,77.0,78.0,74.0,13.0,7.0,9.0,15.0,14.0,,Long Passer (CPU AI Only),53+2,53+2,53+2,50+2,51+2,51+2,51+2,50+2,53+2,53+2,53+2,53+2,58+2,58+2,58+2,53+2,64+2,69+2,69+2,69+2,64+2,67+2,74+2,74+2,74+2,67+2,201.0,84.56657285980384,37.86562963871814
19,2925,0,0,16.0,16.0,3857272.0,1839.0,6806.0,Shaquell Moore,Shaq Moore,18.0,False,0.0,Substitute,17.0,232120.0,S. Moore,Shaquell Moore,1996-11-02,22.0,152.4,73.0,RB,United States,68.0,77.0,1200000.0,6000.0,Right,1.0,3.0,3.0,Medium/ High,Normal,2700000.0,Levante UD,76.0,RES,28.0,2016-08-30,2020,,,,,66.0,47.0,55.0,65.0,45.0,66.0,48.0,35.0,58.0,67.0,78.0,79.0,73.0,69.0,66.0,64.0,71.0,68.0,68.0,58.0,56.0,66.0,58.0,48.0,46.0,56.0,59.0,65.0,70.0,6.0,15.0,11.0,13.0,12.0,,,61+2,61+2,61+2,64+2,62+2,62+2,62+2,64+2,61+2,61+2,61+2,64+2,61+2,61+2,61+2,64+2,67+2,63+2,63+2,63+2,67+2,67+2,64+2,64+2,64+2,67+2,17.0,7.117560610152584,37.68120323021956
20,2975,0,0,25.0,25.0,3857291.0,795.0,15477.0,Ronald Alberto Matarrita Ulate,Ronald Matarrita,22.0,False,0.0,Substitute,17.0,232230.0,R. Matarrita,Ronald Alberto Matarrita Ulate,1994-07-09,24.0,175.26,69.9,"LB,LM",Costa Rica,71.0,78.0,2800000.0,5000.0,Left,1.0,2.0,3.0,Medium/ High,Normal,4800000.0,New York City FC,69.0,SUB,22.0,2016-01-20,2021,,,,,65.0,38.0,59.0,67.0,32.0,70.0,60.0,54.0,63.0,69.0,84.0,82.0,75.0,64.0,75.0,70.0,74.0,76.0,64.0,52.0,71.0,66.0,64.0,67.0,59.0,59.0,66.0,72.0,68.0,15.0,7.0,8.0,8.0,6.0,,"Injury Prone,Early Crosser",61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,69+2,67+2,67+2,67+2,69+2,69+2,67+2,67+2,67+2,69+2,17.0,6.9731539125446105,36.9166971840597
21,1729,0,0,1.0,1.0,3788742.0,776.0,3570.0,Pierre-Emile Højbjerg,,23.0,True,10.0,Center Defensive Midfield,96.0,213648.0,P. Højbjerg,Pierre-Emile Højbjerg,1995-08-05,23.0,185.42,83.9,"CM,CDM",Denmark,77.0,82.0,11500000.0,41000.0,Right,2.0,4.0,3.0,High/ High,Normal,22700000.0,Southampton,76.0,LCM,23.0,2016-07-11,2021,,,,,66.0,63.0,63.0,79.0,60.0,75.0,69.0,70.0,74.0,79.0,59.0,64.0,68.0,75.0,65.0,84.0,63.0,81.0,78.0,76.0,83.0,74.0,66.0,74.0,51.0,69.0,75.0,74.0,64.0,9.0,7.0,12.0,11.0,11.0,,Long Shot Taker (CPU AI Only),70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,73+2,73+2,73+2,72+2,75+2,75+2,75+2,72+2,72+2,75+2,75+2,75+2,72+2,71+2,73+2,73+2,73+2,71+2,201.0,81.06832569001229,36.29925030896073
22,400,0,0,21.0,21.0,18240.0,180.0,10287.0,İlkay Gündoğan,,8.0,True,11.0,Left Defensive Midfield,94.0,186942.0,I. Gündoğan,İlkay Gündoğan,1990-10-24,28.0,154.94,79.8,"CM,CDM",Germany,84.0,84.0,32000000.0,175000.0,Right,3.0,4.0,4.0,High/ Medium,Normal,59200000.0,Manchester City,85.0,SUB,8.0,2016-07-01,2020,Germany,85.0,SUB,21.0,74.0,74.0,50.0,88.0,75.0,85.0,81.0,74.0,84.0,86.0,67.0,68.0,78.0,85.0,78.0,77.0,61.0,69.0,72.0,73.0,70.0,77.0,79.0,86.0,76.0,87.0,72.0,68.0,64.0,11.0,14.0,5.0,5.0,13.0,#Playmaker  ,"Injury Prone,Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",75+3,75+3,75+3,79+3,80+3,80+3,80+3,79+3,82+3,82+3,82+3,80+3,82+3,82+3,82+3,80+3,75+3,77+3,77+3,77+3,75+3,72+3,70+3,70+3,70+3,72+3,127.0,50.972074347067576,36.12194245067781
23,434,0,0,22.0,22.0,18244.0,224.0,6945.0,Alex Sandro Lobo Silva,Alex Sandro,12.0,True,6.0,Left Back,96.0,191043.0,Alex Sandro,Alex Sandro Lobo Silva,1991-01-26,28.0,154.94,79.8,"LB,LM",Brazil,86.0,86.0,36500000.0,160000.0,Left,3.0,3.0,3.0,High/ Medium,Normal,60200000.0,Juventus,85.0,LB,12.0,2015-08-21,2020,,,,,84.0,55.0,76.0,81.0,68.0,80.0,78.0,59.0,71.0,81.0,83.0,86.0,79.0,84.0,78.0,80.0,79.0,92.0,79.0,72.0,82.0,82.0,70.0,70.0,60.0,82.0,81.0,84.0,84.0,7.0,7.0,9.0,12.0,5.0,,Speed Dribbler (CPU AI Only),74+3,74+3,74+3,77+3,75+3,75+3,75+3,77+3,76+3,76+3,76+3,78+3,77+3,77+3,77+3,78+3,83+3,81+3,81+3,81+3,83+3,83+3,81+3,81+3,81+3,83+3,106.0,42.21809333774354,35.845550947140744
24,1943,0,0,26.0,26.0,3788751.0,770.0,8966.0,Kai Havertz,,7.0,True,18.0,Right Attacking Midfield,74.0,235790.0,K. Havertz,Kai Havertz,1999-06-11,19.0,187.96,83.0,"CAM,RM,CF",Germany,81.0,90.0,26500000.0,35000.0,Left,1.0,4.0,4.0,Medium/ Medium,Lean,50400000.0,Bayer 04 Leverkusen,80.0,RCM,29.0,2016-07-01,2022,,,,,69.0,74.0,65.0,82.0,73.0,81.0,65.0,53.0,73.0,84.0,77.0,86.0,78.0,80.0,71.0,68.0,69.0,73.0,61.0,70.0,40.0,35.0,78.0,83.0,49.0,80.0,37.0,42.0,38.0,6.0,8.0,11.0,10.0,12.0,,"Finesse Shot,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",75+2,75+2,75+2,79+2,79+2,79+2,79+2,79+2,80+2,80+2,80+2,78+2,75+2,75+2,75+2,78+2,62+2,60+2,60+2,60+2,62+2,59+2,51+2,51+2,51+2,59+2,35.0,13.911393896141668,35.77215573293572
